,cidade_estado,endereco,lat_lon,latitude,longitude
965,"Senador pompeu, Ceará","Senador Pompeu - State of Ceará, 63600-000, Brazil","(-5.587376799999999, -39.3731832)",-5.587376799999999,-39.3731832
966,"Senhor do bomfim, Bahia","Sr. do Bonfim, BA, 48970-000, Brazil","(-10.4614397, -40.1867729)",-10.4614397,-40.1867729
967,"Serra caiada, Não Informado","Serra Caiada - State of Rio Grande do Norte, Brazil","(-6.10474, -35.7113363)",-6.10474,-35.7113363
968,"Serra caiada, Rio Grande do Norte","Serra Caiada - State of Rio Grande do Norte, Brazil","(-6.10474, -35.7113363)",-6.10474,-35.7113363
969,"Serra de são bento, Rio Grande do Norte","Serra de São Bento, State of Rio Grande do Norte, 59214-000, Brazil","(-6.417421399999999, -35.7040133)",-6.417421399999999,-35.7040133
970,"Serra do mel, Rio Grande do Norte","Serra do Mel - State of Rio Grande do Norte, Brazil","(-5.1730592, -37.0413859)",-5.1730592,-37.0413859
971,"Serra dos carajás, Pará","Carajás Mountains, Parauapebas - State of Pará, 68515-000, Brazil","(-6.276943999999999, -50.581667)",-6.276943999999999,-50.581667
972,"Serra negra do norte, Não Informado","R. Sen. Jose Bernardo, 88 - Centro, Serra Negra do Norte - RN, 59318-000, Brazil","(-6.6666481, -37.3957014)",-6.6666481,-37.3957014
973,"Serra negra do norte, Rio Grande do Norte","Serra Negra do Norte - State of Rio Grande do Norte, Brazil","(-6.587913599999999, -37.3399768)",-6.587913599999999,-37.3399768
974,"Serra talhada, Pernambuco","Serra Talhada, State of Pernambuco, Brazil","(-7.982190699999999, -38.2893787)",-7.982190699999999,-38.2893787
975,"Serrana, São Paulo","Serrana - State of São Paulo, 14150-000, Brazil","(-21.2105166, -47.625836)",-21.2105166,-47.625836
976,"Serraria, Paraíba","Serraria, PB, 58394-000, Brazil","(-6.8201281, -35.6413285)",-6.8201281,-35.6413285
977,"Serrinha dos pintos, Rio Grande do Norte","Serrinha dos Pintos - State of Rio Grande do Norte, Brazil","(-6.1121431, -37.9566102)",-6.1121431,-37.9566102
978,"Serrinha, Não Informado","Serrinha - State of Bahia, Brazil","(-11.6629856, -39.0083901)",-11.6629856,-39.0083901
979,"Serrinha, Rio Grande do Norte","Serrinha - State of Rio Grande do Norte, Brazil","(-6.2785515, -35.4998516)",-6.2785515,-35.4998516
980,"Sertânia, Pernambuco","Sertânia, PE, 56600-000, Brazil","(-8.0751481, -37.26935599999999)",-8.0751481,-37.26935599999999
